"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2005-01",5.072997,
"AUS","HUR","TOT","PC_LF","M","2005-02",5.083775,
"AUS","HUR","TOT","PC_LF","M","2005-03",5.16242,
"AUS","HUR","TOT","PC_LF","M","2005-04",5.121342,
"AUS","HUR","TOT","PC_LF","M","2005-05",5.098837,
"AUS","HUR","TOT","PC_LF","M","2005-06",4.949707,
"AUS","HUR","TOT","PC_LF","M","2005-07",4.971332,
"AUS","HUR","TOT","PC_LF","M","2005-08",4.901379,
"AUS","HUR","TOT","PC_LF","M","2005-09",5.00168,
"AUS","HUR","TOT","PC_LF","M","2005-10",5.015486,
"AUS","HUR","TOT","PC_LF","M","2005-11",4.937305,
"AUS","HUR","TOT","PC_LF","M","2005-12",5.069445,
"AUS","HUR","TOT","PC_LF","M","2006-01",5.161965,
"AUS","HUR","TOT","PC_LF","M","2006-02",5.103288,
"AUS","HUR","TOT","PC_LF","M","2006-03",4.866745,
"AUS","HUR","TOT","PC_LF","M","2006-04",4.964991,
"AUS","HUR","TOT","PC_LF","M","2006-05",4.79758,
"AUS","HUR","TOT","PC_LF","M","2006-06",4.807767,
"AUS","HUR","TOT","PC_LF","M","2006-07",4.65611,
"AUS","HUR","TOT","PC_LF","M","2006-08",4.712224,
"AUS","HUR","TOT","PC_LF","M","2006-09",4.66555,
"AUS","HUR","TOT","PC_LF","M","2006-10",4.463064,
"AUS","HUR","TOT","PC_LF","M","2006-11",4.514783,
"AUS","HUR","TOT","PC_LF","M","2006-12",4.567689,
"AUS","HUR","TOT","PC_LF","M","2007-01",4.553615,
"AUS","HUR","TOT","PC_LF","M","2007-02",4.634415,
"AUS","HUR","TOT","PC_LF","M","2007-03",4.459363,
"AUS","HUR","TOT","PC_LF","M","2007-04",4.38539,
"AUS","HUR","TOT","PC_LF","M","2007-05",4.26381,
"AUS","HUR","TOT","PC_LF","M","2007-06",4.323783,
"AUS","HUR","TOT","PC_LF","M","2007-07",4.252691,
"AUS","HUR","TOT","PC_LF","M","2007-08",4.299256,
"AUS","HUR","TOT","PC_LF","M","2007-09",4.212867,
"AUS","HUR","TOT","PC_LF","M","2007-10",4.326275,
"AUS","HUR","TOT","PC_LF","M","2007-11",4.426582,
"AUS","HUR","TOT","PC_LF","M","2007-12",4.308077,
"AUS","HUR","TOT","PC_LF","M","2008-01",4.221014,
"AUS","HUR","TOT","PC_LF","M","2008-02",3.979271,
"AUS","HUR","TOT","PC_LF","M","2008-03",4.056744,
"AUS","HUR","TOT","PC_LF","M","2008-04",4.264806,
"AUS","HUR","TOT","PC_LF","M","2008-05",4.265496,
"AUS","HUR","TOT","PC_LF","M","2008-06",4.243171,
"AUS","HUR","TOT","PC_LF","M","2008-07",4.249638,
"AUS","HUR","TOT","PC_LF","M","2008-08",4.015678,
"AUS","HUR","TOT","PC_LF","M","2008-09",4.288691,
"AUS","HUR","TOT","PC_LF","M","2008-10",4.29027,
"AUS","HUR","TOT","PC_LF","M","2008-11",4.462722,
"AUS","HUR","TOT","PC_LF","M","2008-12",4.569835,
"AUS","HUR","TOT","PC_LF","M","2009-01",4.907171,
"AUS","HUR","TOT","PC_LF","M","2009-02",5.303105,
"AUS","HUR","TOT","PC_LF","M","2009-03",5.710748,
"AUS","HUR","TOT","PC_LF","M","2009-04",5.511716,
"AUS","HUR","TOT","PC_LF","M","2009-05",5.810943,
"AUS","HUR","TOT","PC_LF","M","2009-06",5.860946,
"AUS","HUR","TOT","PC_LF","M","2009-07",5.670954,
"AUS","HUR","TOT","PC_LF","M","2009-08",5.715501,
"AUS","HUR","TOT","PC_LF","M","2009-09",5.661253,
"AUS","HUR","TOT","PC_LF","M","2009-10",5.623957,
"AUS","HUR","TOT","PC_LF","M","2009-11",5.558456,
"AUS","HUR","TOT","PC_LF","M","2009-12",5.490997,
"AUS","HUR","TOT","PC_LF","M","2010-01",5.265194,
"AUS","HUR","TOT","PC_LF","M","2010-02",5.299494,
"AUS","HUR","TOT","PC_LF","M","2010-03",5.421971,
"AUS","HUR","TOT","PC_LF","M","2010-04",5.496768,
"AUS","HUR","TOT","PC_LF","M","2010-05",5.228394,
"AUS","HUR","TOT","PC_LF","M","2010-06",5.143668,
"AUS","HUR","TOT","PC_LF","M","2010-07",5.28531,
"AUS","HUR","TOT","PC_LF","M","2010-08",5.033535,
"AUS","HUR","TOT","PC_LF","M","2010-09",5.054314,
"AUS","HUR","TOT","PC_LF","M","2010-10",5.28549,
"AUS","HUR","TOT","PC_LF","M","2010-11",5.109212,
"AUS","HUR","TOT","PC_LF","M","2010-12",4.876853,
"AUS","HUR","TOT","PC_LF","M","2011-01",5.002497,
"AUS","HUR","TOT","PC_LF","M","2011-02",4.973949,
"AUS","HUR","TOT","PC_LF","M","2011-03",4.925571,
"AUS","HUR","TOT","PC_LF","M","2011-04",4.957208,
"AUS","HUR","TOT","PC_LF","M","2011-05",5.012171,
"AUS","HUR","TOT","PC_LF","M","2011-06",4.916154,
"AUS","HUR","TOT","PC_LF","M","2011-07",5.088574,
"AUS","HUR","TOT","PC_LF","M","2011-08",5.271179,
"AUS","HUR","TOT","PC_LF","M","2011-09",5.222175,
"AUS","HUR","TOT","PC_LF","M","2011-10",5.189073,
"AUS","HUR","TOT","PC_LF","M","2011-11",5.231361,
"AUS","HUR","TOT","PC_LF","M","2011-12",5.197412,
"AUS","HUR","TOT","PC_LF","M","2012-01",5.045737,
"AUS","HUR","TOT","PC_LF","M","2012-02",5.196435,
"AUS","HUR","TOT","PC_LF","M","2012-03",5.181568,
"AUS","HUR","TOT","PC_LF","M","2012-04",4.991901,
"AUS","HUR","TOT","PC_LF","M","2012-05",5.197948,
"AUS","HUR","TOT","PC_LF","M","2012-06",5.16238,
"AUS","HUR","TOT","PC_LF","M","2012-07",5.177051,
"AUS","HUR","TOT","PC_LF","M","2012-08",5.157068,
"AUS","HUR","TOT","PC_LF","M","2012-09",5.488996,
"AUS","HUR","TOT","PC_LF","M","2012-10",5.413039,
"AUS","HUR","TOT","PC_LF","M","2012-11",5.25808,
"AUS","HUR","TOT","PC_LF","M","2012-12",5.433359,
"AUS","HUR","TOT","PC_LF","M","2013-01",5.385855,
"AUS","HUR","TOT","PC_LF","M","2013-02",5.402036,
"AUS","HUR","TOT","PC_LF","M","2013-03",5.638075,
"AUS","HUR","TOT","PC_LF","M","2013-04",5.58466,
"AUS","HUR","TOT","PC_LF","M","2013-05",5.606963,
"AUS","HUR","TOT","PC_LF","M","2013-06",5.694622,
"AUS","HUR","TOT","PC_LF","M","2013-07",5.629462,
"AUS","HUR","TOT","PC_LF","M","2013-08",5.843328,
"AUS","HUR","TOT","PC_LF","M","2013-09",5.706351,
"AUS","HUR","TOT","PC_LF","M","2013-10",5.827505,
"AUS","HUR","TOT","PC_LF","M","2013-11",5.799842,
"AUS","HUR","TOT","PC_LF","M","2013-12",5.901826,
"AUS","HUR","TOT","PC_LF","M","2014-01",5.938041,
"AUS","HUR","TOT","PC_LF","M","2014-02",5.888974,
"AUS","HUR","TOT","PC_LF","M","2014-03",5.872264,
"AUS","HUR","TOT","PC_LF","M","2014-04",5.799834,
"AUS","HUR","TOT","PC_LF","M","2014-05",5.926722,
"AUS","HUR","TOT","PC_LF","M","2014-06",6.046835,
"AUS","HUR","TOT","PC_LF","M","2014-07",6.182312,
"AUS","HUR","TOT","PC_LF","M","2014-08",6.100918,
"AUS","HUR","TOT","PC_LF","M","2014-09",6.228239,
"AUS","HUR","TOT","PC_LF","M","2014-10",6.364943,
"AUS","HUR","TOT","PC_LF","M","2014-11",6.303184,
"AUS","HUR","TOT","PC_LF","M","2014-12",6.106555,
"AUS","HUR","TOT","PC_LF","M","2015-01",6.34003,
"AUS","HUR","TOT","PC_LF","M","2015-02",6.149508,
"AUS","HUR","TOT","PC_LF","M","2015-03",6.10019,
"AUS","HUR","TOT","PC_LF","M","2015-04",6.106999,
"AUS","HUR","TOT","PC_LF","M","2015-05",5.928448,
"AUS","HUR","TOT","PC_LF","M","2015-06",6.003623,
"AUS","HUR","TOT","PC_LF","M","2015-07",6.283802,
"AUS","HUR","TOT","PC_LF","M","2015-08",6.092145,
"AUS","HUR","TOT","PC_LF","M","2015-09",6.165374,
"AUS","HUR","TOT","PC_LF","M","2015-10",5.921562,
"AUS","HUR","TOT","PC_LF","M","2015-11",5.859444,
"AUS","HUR","TOT","PC_LF","M","2015-12",5.742937,
"AUS","HUR","TOT","PC_LF","M","2016-01",6.027224,
"AUS","HUR","TOT","PC_LF","M","2016-02",5.691508,
"AUS","HUR","TOT","PC_LF","M","2016-03",5.648736,
"AUS","HUR","TOT","PC_LF","M","2016-04",5.63988,
"AUS","HUR","TOT","PC_LF","M","2016-05",5.718466,
"AUS","HUR","TOT","PC_LF","M","2016-06",5.689663,
"AUS","HUR","TOT","PC_LF","M","2016-07",5.704047,
